key,term,cover,map,artist,title,year,license,caption_line1,note,source_file
athena-w104,Athena,,,Anonymous,Athena Giustiniani,c. 200 AD,CC BY-SA 3.0,"Anonymous · Athena Giustiniani, c. 200 AD (CC BY-SA 3.0)",,File:Atena-Giustiniani---Vatican.jpg
athena-w105,Athena,,,Anonymous,Athena Carpegna,c. 100 AD,,"Anonymous · Athena Carpegna, c. 100 AD",,File:Athena_Carpegna_Massimo.jpg
athena-w106,Athena,,,Oltos,Athena and Enceladus,c. 525 BC,,"Oltos · Athena and Enceladus, c. 525 BC","Athena — standing at left, helmeted, with spear and shield",File:Athena_Enkelados_Louvre_CA3662.jpg
athena-w107,Athena,,,Python and Douris,Athena and Herakles,c. 480 BC,,"Python and Douris · Athena and Herakles, c. 480 BC","Athena — standing at right, pouring wine",File:Athena_Herakles_Staatliche_Antikensammlungen_2648.jpg
athena-w108,Athena,,,Anonymous,Athena Promachos,c. 100 AD,CC BY 2.5,"Anonymous · Athena Promachos, c. 100 AD (CC BY 2.5)",,File:Athena_Promachos_MGEt_Inv39565.jpg
athena-w109,Athena,,,Paris Bordone,Athena Scorning the Advances of Hephaestus,1555,,"Paris Bordone · Athena Scorning the Advances of Hephaestus, 1555","Athena — at right, helmeted, pushing Hephaestus away",File:Athena_Scorning_the_Advances_of_Hephaestus.jpg
athens-map,Athens,Y,Y,,Homeric Greece,,,Homeric Greece,"Athens — a city in Attica, on the mainland of central Greece",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
calypso-1,Calypso,Y,,Arnold Böcklin,Odysseus and Calypso,1883,,"Arnold Böcklin · Odysseus and Calypso, 1883","Calypso — the seated nude woman at right, by the cave",File:Arnold_B%C3%B6cklin_008.jpg
calypso-2,Calypso,,,George Hitchcock,Calypso,1906,,"George Hitchcock · Calypso, 1906",,"File:Hitchcock,_George_-_Calypso_-_Google_Art_Project.jpg"
calypso-3,Calypso,,,Hendrick van Balen the Elder,Odysseus as Guest of the Nymph Calypso,1616,,"Hendrick van Balen the Elder · Odysseus as Guest of the Nymph Calypso, 1616",,File:Hendrick_van_Balen_-_Odysseus_as_guest_of_the_nymph_Calypso.jpg
calypso-4,Calypso,,,Gerard de Lairesse,Odysseus with Calypso,1680,,"Gerard de Lairesse · Odysseus with Calypso, 1680","Calypso — the nude woman at left, holding the spear",File:Lairesse_-_Odysseus_bij_Calypso_Rijksmuseum_SK-A-211.jpg
calypso-w100,Calypso,,,Gerard de Lairesse,Hermes Ordering Calypso to Release Odysseus,c. 1670,,"Gerard de Lairesse · Hermes Ordering Calypso to Release Odysseus, c. 1670","Calypso — the reclining nude woman at center, on the bed","File:%27Hermes_Ordering_Calypso_to_Release_Odysseus%27_by_Gerard_de_Lairesse,_c._1670.JPG"
calypso-w101,Calypso,,,Angelica Kauffmann,Calypso Calling Heaven and Earth to Witness Her Sincere Affection to Ulysses,c. 1775,,"Angelica Kauffmann · Calypso Calling Heaven and Earth to Witness Her Sincere Affection to Ulysses, c. 1775","Calypso — the woman at left, pointing skyward",File:Angelica_Kauffmann_-_Calypso_calling_heaven_and_earth_to_witness_her_sincere_affection_to_Ulysses.jpg
calypso-w103,Calypso,,,Cornelis van Poelenburgh,The Goddess Calypso Rescues Ulysses,1630,,"Cornelis van Poelenburgh · The Goddess Calypso Rescues Ulysses, 1630",,File:Cornelis_van_Poelenburgh_-_The_Goddess_Calypso_rescues_Ulysses_-_Google_Art_Project.jpg
calypso-w104,Calypso,,,Gerard de Lairesse,Hermes Ordering Calypso to Release Odysseus,c. 1676–1682,,"Gerard de Lairesse · Hermes Ordering Calypso to Release Odysseus, c. 1676–1682",Calypso — the reclining nude woman at center,File:G%C3%A9rard_de_Lairesse_-_Mercurius_gelast_Calypso_om_Odysseus_te_laten_vertrekken.jpg
calypso-w106,Calypso,,,Henri Lehmann,Calypso,1869,,"Henri Lehmann · Calypso, 1869",,"File:Henri_Lehmann_-_Calypso,_1869.jpg"
calypso-w107,Calypso,,,Herbert James Draper,Calypso's Isle,1897,,"Herbert James Draper · Calypso's Isle, 1897",,"File:Herbert_James_Draper,_Calypso%27s_Isle.jpg"
calypso-w109,Calypso,,,Hubert Maurer,Hermes with Calypso and Odysseus,c. 1790,,"Hubert Maurer · Hermes with Calypso and Odysseus, c. 1790",,File:Hubert_Maurer_-_Hermes_bei_Calypso_und_Odysseus.jpg
chalcis-map,Chalcis,Y,Y,,Homeric Greece,,,Homeric Greece,"Chalcis — a town in western Greece, not the Euboean Chalcis",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
charybdis-1,Charybdis,Y,,Henry Fuseli,Odysseus in Front of Scylla and Charybdis,c. 1795,,"Henry Fuseli · Odysseus in Front of Scylla and Charybdis, c. 1795",Charybdis — the whirlpool engulfing the boat; heads above are Scylla,File:Johann_Heinrich_F%C3%BCssli_054.jpg
charybdis-3,Charybdis,,,William Bromley,Odysseus Between Scylla and Charybdis,1806,,"William Bromley · Odysseus Between Scylla and Charybdis, 1806",Charybdis — the swirling water below Odysseus; serpents are Scylla,"File:William_Bromley_-_Odysseus_Between_Scylla_and_Charybdis,_1806.jpg"
charybdis-4,Charybdis,,,Anonymous,Odysseus Between Scylla and Charybdis,1806,,"Anonymous · Odysseus Between Scylla and Charybdis, 1806",Charybdis — the whirlpool below; the monster at upper-left is Scylla,"File:Odysseus_Between_Scylla_and_Charybdis_(BM_1870,1008.2799).jpg"
chios-map,Chios,Y,Y,,Homeric Greece,,,Homeric Greece,Chios — an Aegean island off the coast of Asia Minor,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
cicones-1,Cicones,Y,,Anonymous,The Warrior Vase,c. 1200 BC,,"Anonymous · The Warrior Vase, c. 1200 BC",Cicones — marching warriors evoking the people Odysseus raided,"File:Mycenaean_potery_krater,_men,_1300-1200_BC,Enkomi,_BM_Cat_Vases_C333,_142823.jpg"
cicones-2,Cicones,,,Anonymous,Hydria with the Fight of Achilles and Memnon,c. 575–550 BC,,"Anonymous · Hydria with the Fight of Achilles and Memnon, c. 575–550 BC",Cicones — warriors in combat illustrating this warlike people,File:Greek_-_Hydria_with_the_Fight_of_Achilles_and_Memnon_Walters_482230_cropped_reduced_glare_white_bg.png
cicones-4,Cicones,,,Painter of Acropolis 606,Name Vase of the Painter of Athens 606,c. 570–560 BC,,"Painter of Acropolis 606 · Name Vase of the Painter of Athens 606, c. 570–560 BC",Cicones — armed warriors in battle illustrating this warlike people,File:NAMA_-_Name_vase_of_the_Painter_of_Athens_606.jpg
cicones-w101,Cicones,,,Anonymous,Thracians Charging,c. 480 BC,,"Anonymous · Thracians Charging, c. 480 BC",,File:Thracians-charging-red-krater.png
cimmerians-map,Cimmerians,Y,Y,,The World According to Homer,,,The World According to Homer,"Cimmerians — a people at the world's edge, near the land of the dead",File:Homer_world_map.jpg
circe-2,Circe,,,John William Waterhouse,Circe Invidiosa,1892,,"John William Waterhouse · Circe Invidiosa, 1892",Circe — poisoning the pool to transform her rival Scylla,File:J._W._Waterhouse_-_Circe_Invidiosa_-_Google_Art_Project.jpg
circe-w100,Circe,,,Angelo Caroselli,The Kingdom of the Sorceress Circe,c. 1630,,"Angelo Caroselli · The Kingdom of the Sorceress Circe, c. 1630",,File:%27The_Kingdom_of_Sorceress_Circe%27_by_Angelo_Caroselli_and_Pseudo_Caroselli.jpg
circe-w101,Circe,Y,,John William Waterhouse,Circe Offering the Cup to Odysseus,1891,,"John William Waterhouse · Circe Offering the Cup to Odysseus, 1891",,File:Circe_Offering_the_Cup_to_Odysseus_(2457_x_4023px_ed.).jpg
circe-w102,Circe,,,Wright Barker,Circe,1889,,"Wright Barker · Circe, 1889",,File:Circe_by_Wright_Barker_(1889).jpg
circe-w103,Circe,,,Anonymous,Circe with the Swine,c. 200 BC,CC BY 3.0,"Anonymous · Circe with the Swine, c. 200 BC (CC BY 3.0)",,"File:Circe_coi_maiali,_III-II_secolo_ac.jpg"
circe-w104,Circe,,,Frederick Stuart Church,Circe,1910,,"Frederick Stuart Church · Circe, 1910",,File:Circe-Frederick_Stuart_Church-1910.9.4_1a_Smithsonian_American_Art_Museum.jpg
circe-w106,Circe,,,Anonymous,Circe,15th century,,"Anonymous · Circe, 15th century","Circe — the crowned woman at far left, inscribed",File:De_claris_mulieribus.jpg
circe-w108,Circe,,,Giovanni Battista Trotti,Circe,c. 1610,,"Giovanni Battista Trotti · Circe, c. 1610","Circe — standing woman center-left, gesturing toward the drinkers",File:G.B.Trotti_Circe.jpg
circe-w109,Circe,,,George Romney,Lady Hamilton as Circe,c. 1782,,"George Romney · Lady Hamilton as Circe, c. 1782",,File:George_Romney_-_Lady_Hamilton_as_Circe.jpg
circe-wine,Circe,,,Edward Burne-Jones,The Wine of Circe,1900,,"Edward Burne-Jones · The Wine of Circe, 1900",,"File:Edward_Burne-Jones_-_The_Wine_of_Circe,_1900.jpg"
clytemnestra-1,Clytemnestra,Y,,John Collier,Clytemnestra,1882,,"John Collier · Clytemnestra, 1882",,File:Collier-Clytemnestra_after_the_murder.jpg
clytemnestra-w101,Clytemnestra,,,John Collier,Clytemnestra,1882,,"John Collier · Clytemnestra, 1882",,"File:Clytemnestra_by_John_Collier,_1882.jpg"
clytemnestra-w102,Clytemnestra,,,Eumenides Painter,Clytemnestra and the Erinyes,c. 380 BC,,"Eumenides Painter · Clytemnestra and the Erinyes, c. 380 BC",Clytemnestra — the veiled woman at left rousing the sleeping Fury,File:Klytaimnestra_Erinyes_Louvre_Cp710.jpg
cocytus-map,Cocytus,Y,Y,,The World According to Homer,,,The World According to Homer,"Cocytus — a river of the underworld, beyond the encircling Ocean",File:Homer_world_map.jpg
cronus-1,Cronus,Y,,Francisco Goya,Saturn Devouring His Son,1819–23,,"Francisco Goya · Saturn Devouring His Son, 1819–23","Cronus — here called by his Roman name, Saturn, devouring his son","File:Francisco_de_Goya,_Saturno_devorando_a_su_hijo_(1819-1823).jpg"
cronus-w100,Cronus,,,Cornelis van Haarlem,The Fall of the Titans,c. 1588–1590,,"Cornelis van Haarlem · The Fall of the Titans, c. 1588–1590",The Titans — Cronus's kin — cast down by the young Olympian gods,File:Cornelis_Cornelisz._van_Haarlem_-_The_Fall_of_the_Titans_-_Google_Art_Project.jpg
cronus-w101,Cronus,,,Karl Friedrich Schinkel,Cronus and Rhea,c. 1827,,"Karl Friedrich Schinkel · Cronus and Rhea, c. 1827",Cronus — the bearded man seated at right,File:Cronos_and_Rhea_by_Karl_Friedrich_Schinkel.jpg
cronus-w102,Cronus,,,Anonymous,Rhea Handing a Swaddled Stone to Cronus,c. 460–450 BC,,"Anonymous · Rhea Handing a Swaddled Stone to Cronus, c. 460–450 BC",Cronus — the bearded man standing at right,"File:Rhea_handing_a_swaddled_stone_to_Cronus,_Attic_terracotta_pelike,_c._460%E2%80%93450_BC,_Met_06.1021.144.jpg_(cropped).jpg"
cronus-w103,Cronus,,,Giovanni Francesco Romanelli,Cronus and His Child,c. 1650,,"Giovanni Francesco Romanelli · Cronus and His Child, c. 1650",,File:Romanelli_Chronos_and_his_child.jpg
cronus-w104,Cronus,,,Peter Paul Rubens,Saturn,c. 1636–1638,,"Peter Paul Rubens · Saturn, c. 1636–1638",,File:Rubens_saturn.jpg
cronus-w105,Cronus,,,Giulio Bonasone,Saturn in the Guise of a Horse Being Suckled by the Nymph Philyra,c. 1513–1576,,"Giulio Bonasone · Saturn in the Guise of a Horse Being Suckled by the Nymph Philyra, c. 1513–1576",Cronus — the horse embraced by the nymph at right,File:Saturn_in_the_guise_of_a_horse_being_suckled_by_the_nymph_Philyra_MET_DP812778.jpg
cronus-w107,Cronus,,,Giorgio Vasari,The Mutilation of Uranus by Saturn,16th century,,"Giorgio Vasari · The Mutilation of Uranus by Saturn, 16th century","Cronus — standing youth wielding the sickle, center",File:The_Mutilation_of_Uranus_by_Saturn.jpg
cyclops-1,Cyclops (pl. Cyclopes),Y,,Odilon Redon,The Cyclops,c. 1914,,"Odilon Redon · The Cyclops, c. 1914",,"File:Odilon_Redon_-_The_Cyclops,_c._1914.jpg"
cyclops-2,Cyclops (pl. Cyclopes),,,Jacob Jordaens,Odysseus in the Cave of Polyphemus,c. 1635,,"Jacob Jordaens · Odysseus in the Cave of Polyphemus, c. 1635",Cyclops — the towering giant at left,File:Jakob_Jordaens_009.jpg
cyclops-3,Cyclops (pl. Cyclopes),,,Annibale Carracci,The Cyclops Polyphemus,1595,,"Annibale Carracci · The Cyclops Polyphemus, 1595",Cyclops — the giant striding at left,File:Annibale_Carracci_-_The_Cyclops_Polyphemus_-_WGA04461.jpg
cyclops-film1911,Cyclops (pl. Cyclopes),,,Milano Films,L'Odissea (film still),1911,,"Milano Films · L'Odissea (film still), 1911",Polyphemus — the Cyclops looming above Odysseus' men,File:L%27Odissea_(1911).webm
cyclops-w101,Cyclops (pl. Cyclopes),,,Cornelis Cort,The Forge of the Cyclopes,1572,,"Cornelis Cort · The Forge of the Cyclopes, 1572",,File:Forge_of_the_Cyclopes_LACMA_M.88.91.96.jpg
cyclops-w102,Cyclops (pl. Cyclopes),,,Guido Reni,Polyphemus,c. 1639,,"Guido Reni · Polyphemus, c. 1639",,File:Guido_Reni_-_Polyphemus_-_Google_Art_Project.jpg
cyclops-w105,Cyclops (pl. Cyclopes),,,Polyphemus Painter,The Blinding of Polyphemus,c. 660 BC,CC BY-SA 3.0,"Polyphemus Painter · The Blinding of Polyphemus, c. 660 BC (CC BY-SA 3.0)",Cyclops — the seated giant at right being blinded,File:Polyphemus_Eleusis_2630.jpg
cyprus-map,Cyprus,Y,Y,Abraham Ortelius,The Wanderings of Ulysses,1597,,"Abraham Ortelius · The Wanderings of Ulysses, 1597",Cyprus — a large island in the far eastern Mediterranean,File:Maps_of_the_peregrination_of_Ulysses_by_Abraham_Ortelius.jpeg
cythera-map,Cythera,Y,Y,,Homeric Greece,,,Homeric Greece,"Cythera — an island south of Cape Malea, off the Peloponnese",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
dawn-1,Dawn,Y,,Evelyn De Morgan,Aurora Triumphans,1886,,"Evelyn De Morgan · Aurora Triumphans, 1886",Dawn — the nude woman bound in roses at right,"File:Morgan,_Evelyn_de_-_Aurora_Triumphans_-_c._1886.jpg"
dawn-2,Dawn,,,Guercino,Aurora,1621,,"Guercino · Aurora, 1621","Dawn — the woman reclining in the chariot, center","File:Guercino_-_Ceiling_painting,_Casino_dell%27Aurora,_02aurora.jpg"
dawn-3,Dawn,,,Herbert James Draper,The Gates of Dawn,1900,,"Herbert James Draper · The Gates of Dawn, 1900",,"File:Herbert_James_Draper,_The_Gates_of_Dawn,_1900.jpg"
dawn-4,Dawn,,,Gerard de Lairesse,Apollo and Aurora,1671,,"Gerard de Lairesse · Apollo and Aurora, 1671",Dawn — the seated woman with the flower basket,File:1671_G%C3%A9rard_de_Lairesse_-_Apollo_and_Aurora.jpg
dawn-w100,Dawn,,,Jorgen C. Dreyer,Goddess of Dawn,1932,CC BY-SA 4.0,"Jorgen C. Dreyer · Goddess of Dawn, 1932 (CC BY-SA 4.0)",,"File:1932_Goddess_of_Dawn,_as_sculpted_by_Jorgen_C._Dreyer.jpg"
dawn-w101,Dawn,,,Anonymous,"Eos on a Chariot with Eros, a Woman and a Swan",late 4th century BC,,"Anonymous · Eos on a Chariot with Eros, a Woman and a Swan, late 4th century BC",Dawn — the sun-haloed charioteer driving the horses,File:A_terracotta_lekanis_dish_depicting_dawn_eos_on_chariot_with_four_horses_eros_a_woman_and_a_swan_late_4th_century_metropolitan_museum_of_art_cropped_detail_eos.jpg
dawn-w102,Dawn,,,Anonymous,Eos Carrying Cephalus,c. 420 BC,CC BY-SA 4.0,"Anonymous · Eos Carrying Cephalus, c. 420 BC (CC BY-SA 4.0)",Dawn — fragmentary marble group of the goddess bearing off the youth Cephalus,"File:Akroterion,_fragments,_Eos_carries_Cephalus,_425-417_BC,_Delos,_A04281,_A04282,_143425.jpg"
dawn-w103,Dawn,,,Anonymous,Eos,c. 160 BC,CC BY-SA 4.0,"Anonymous · Eos, c. 160 BC (CC BY-SA 4.0)",,File:Altar_P%C3%A9rgamo_Eos_06.JPG
dawn-w104,Dawn,,,Agostino Carracci,Aurora and Cephalus,1597,,"Agostino Carracci · Aurora and Cephalus, 1597",Dawn — the woman embracing the youth at upper left,"File:Aurora_and_Cephalus_-_Agostino_Carracci_-_1597_-_Farnese_Gallery,_Rome.jpg"
dawn-w105,Dawn,,,Anonymous,Aurora Clock,c. 1850,CC BY-SA 3.0,"Anonymous · Aurora Clock, c. 1850 (CC BY-SA 3.0)",,"File:Clock_Aurora_(France,_middle_19_c.).jpg"
dawn-w106,Dawn,,,Anonymous,Eos and Cephalus,c. 470 BC,,"Anonymous · Eos and Cephalus, c. 470 BC",,File:Eos_Kephalos_Louvre_LP1153.jpg
dawn-w107,Dawn,,,Douris,Eos and Memnon,c. 490 BC,,"Douris · Eos and Memnon, c. 490 BC",Dawn — the winged figure carrying the limp body,File:Eos_Memnon_Louvre_G115.jpg
dawn-w108,Dawn,,,Anonymous,Eos Abducting Tithonus,c. 470 BC,,"Anonymous · Eos Abducting Tithonus, c. 470 BC",Dawn — the winged figure pursuing at right,File:Eos_adbucting_Tithonos-MAHG_MF_140-P6130559.JPG
dawn-w109,Dawn,,,Anonymous,Eos in Her Chariot,c. 430 BC,,"Anonymous · Eos in Her Chariot, c. 430 BC",,File:Eos_chariot_430-420_BC_Staatliche_Antikensammlungen.jpg
delos-map,Delos,Y,Y,,Homeric Greece,,,Homeric Greece,"Delos — a Cycladic island in the Aegean, sacred to Apollo",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
demodocus-2,Demodocus,Y,,John Flaxman,Demodocus Singing,1805,,"John Flaxman · Demodocus Singing, 1805",Demodocus — the bard playing the lyre at left,File:OdysseyDemodokos.png
egypt-1,Egypt,Y,,David Roberts,"The Hypostyle Hall, Karnak",1838,,"David Roberts · The Hypostyle Hall, Karnak, 1838",,File:David_Roberts_Karnak_03.jpg
egypt-2,Egypt,,,Charles Wilkinson,Facsimile Painting from the Temple of Mentuhotep II,2000,,"Charles Wilkinson · Facsimile Painting from the Temple of Mentuhotep II, 2000",,File:Facsimile_painting_from_the_temple_of_Mentuhotep_II_MET_48.105.28_EGDP013014.jpg
egypt-3,Egypt,,,Georges Perrot,A History of Art in Ancient Egypt,1883,,"Georges Perrot · A History of Art in Ancient Egypt, 1883",Egypt — reconstruction drawing of an ancient Egyptian temple pylon,File:A_history_of_art_in_ancient_Egypt_(1883)_(14585959560).jpg
egypt-4,Egypt,,,Anonymous,Wall Painting of the Arm and Chest of a King,2019,,"Anonymous · Wall Painting of the Arm and Chest of a King, 2019",,File:Wall_painting_-_arm_and_chest_of_king_-_Naga_(temple_of_Amun)_-_M%C3%BCnchen_SMAEK.jpg
egypt-map,Egypt,,Y,Abraham Ortelius,Aegyptus Antiqua (Ancient Egypt),1584,,"Abraham Ortelius · Aegyptus Antiqua (Ancient Egypt), 1584",Egypt — where Menelaus was stranded and met the sea-god Proteus,"File:Abraham_Ortelius,_%C3%86gyptus_Antiqva_(FL25570117_2499962).jpg"
elis-map,Elis,Y,Y,,Homeric Greece,,,Homeric Greece,Elis — a region in the northwestern Peloponnese,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
elpenor-1,Elpenor,Y,,Lykaon Painter,Odysseus Cremating the Body of Elpenor,c. 440 BC,,"Lykaon Painter · Odysseus Cremating the Body of Elpenor, c. 440 BC",Elpenor — the corpse laid on the burning pyre,"File:Odysseus_cremeert_het_lichaam_van_Elpenor_De_werken_van_Odysseus_(serietitel),_RP-P-OB-66.756.jpg"
ephyra-map,Ephyra,Y,Y,Guillaume Delisle,Northern Ancient Greece,1794,,"Guillaume Delisle · Northern Ancient Greece, 1794","Ephyra — in Thesprotia, on the western mainland of northern Greece","File:1794_Delisle_Map_of_Northern_Ancient_Greece,_Balkans,_Macedonia_-_Geographicus_-_GreeceNorth-delisle-1794.jpg"
erebus-map,Erebus,Y,Y,,The World According to Homer,,,The World According to Homer,Erebus — a dark place in the underworld below the earth,File:Homer_world_map.jpg
erymanthus-map,Erymanthus,Y,Y,,Homeric Greece,,,Homeric Greece,"Erymanthus — mountains in the northwestern Peloponnese, between Achaea and Elis",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
ethiopia-map,Ethiopia,Y,Y,,The World According to Homer,,,The World According to Homer,"Ethiopia — at the world's edge, between sunset and dawn",File:Homer_world_map.jpg
euboea-map,Euboea,Y,Y,,Homeric Greece,,,Homeric Greece,Euboea — long island just east of the Greek mainland,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
eumaeus-1,Eumaeus,Y,,Johann August Nahl the Younger,Odysseus and the Swineherd Eumaeus,19th c.,,"Johann August Nahl the Younger · Odysseus and the Swineherd Eumaeus, 19th c.","Eumaeus — the seated host at center, in red cap","File:Weimar,_Schlossmuseum,_Johann_August_Nahl_der_J%C3%BCngere,_Telemach_und_andere.JPG"
eurycleia-1,Eurycleia,Y,,Penelope Painter,Eurycleia Washing the Feet of Odysseus,c. 440 BC,,"Penelope Painter · Eurycleia Washing the Feet of Odysseus, c. 440 BC",,File:Penelope_Painter_-_ARV_1300_2_-_Telemachos_leaving_Penelope_-_Odysseus_recognized_by_his_nurse_-_Chiusi_MAN_1831_-_06.jpg
eurycleia-w100,Eurycleia,,,Gustave Boulanger,Ulysses and Eurycleia,c. 1849,CC BY-SA 3.0,"Gustave Boulanger · Ulysses and Eurycleia, c. 1849 (CC BY-SA 3.0)",Eurycleia — the kneeling old woman washing his feet,File:Gustave_Boulanger_Ulysse_et_Eurycl%C3%A9e.JPG
eurycleia-w101,Eurycleia,,,Johann Heinrich Wilhelm Tischbein,Odysseus and Eurycleia,c. 1802,,"Johann Heinrich Wilhelm Tischbein · Odysseus and Eurycleia, c. 1802",Eurycleia — the aged woman at right with the basin,File:Odysseus_and_Euryclea_by_Johann_Heinrich_Wilhelm_Tischbein.jpg
eurylochus-1,Eurylochus,Y,,John Flaxman,Circe and the Companions of Ulysses,1805,,"John Flaxman · Circe and the Companions of Ulysses, 1805",Eurylochus — the companion standing at left,File:OdysseyCirce.png
eurylochus-2,Eurylochus,,,Painter of the Boston Polyphemos,Odysseus' Men Transformed into Animals by Circe Receive the Antidote,c. 560–550 BC,,"Painter of the Boston Polyphemos · Odysseus' Men Transformed into Animals by Circe Receive the Antidote, c. 560–550 BC",Eurylochus — leader of the scouting party Circe transformed and now restores,File:44a_Odysseus_men_turned_into_animals_by_Circe_receive_antidote_photo_by_Lucas_ancientartpodcast_flickr_cca2.0_8706785112_f6a311cafa_o_white_bg.jpg
eurylochus-3,Eurylochus,,,Anonymous,One of Odysseus' Men Transformed into a Pig,5th century BC,,"Anonymous · One of Odysseus' Men Transformed into a Pig, 5th century BC","Eurylochus — a man with a boar's head, as Circe transformed his party",File:Greek_-_One_of_Odysseus%27_Men_Transformed_Into_a_Pig_-_Walters_541483_-_Profile.jpg
eurylochus-w100,Eurylochus,,,Manner of the Bowdoin Painter,The Companions of Odysseus Transformed into Boars,c. 470 BC,CC BY-SA 4.0,"Manner of the Bowdoin Painter · The Companions of Odysseus Transformed into Boars, c. 470 BC (CC BY-SA 4.0)",,File:Manner_of_the_Bowdoin_Painter_-_ARV_693_3_-_companions_of_Odysseus_transformed_into_boars_-_Athens_NAM_9685_-_01.jpg
eurylochus-w101,Eurylochus,,,Pellegrino Tibaldi,The Companions of Odysseus Rob the Cattle of Helios,c. 1555,,"Pellegrino Tibaldi · The Companions of Odysseus Rob the Cattle of Helios, c. 1555",,File:Pellegrino_Tibaldi_001.jpg
suitors-mnest,Eurymachus,Y,,Ixion Painter,The Slaying of the Suitors,c. 330 BC,,"Ixion Painter · The Slaying of the Suitors, c. 330 BC",Eurymachus — among the suitors cut down by Odysseus,File:Mnesterophonia_Louvre_CA7124.jpg
geraestus-map,Geraestus,Y,Y,,Homeric Greece,,,Homeric Greece,Geraestus — a cape at the southern tip of Euboea,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
gortyn-map,Gortyn,Y,Y,,Homeric Greece,,,Homeric Greece,Gortyn — in south central Crete,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
gyrae-map,Gyrae,Y,Y,,Homeric Greece,,,Homeric Greece,Gyrae — rocky reef somewhere in the Aegean Sea,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
hades-1,Hades,Y,,Gian Lorenzo Bernini,The Rape of Proserpina,1622,,"Gian Lorenzo Bernini · The Rape of Proserpina, 1622",Hades — the man carrying off Persephone,File:Rape_of_Prosepina_September_2015-3a.jpg
hades-2,Hades,,,Anonymous,Heracles and Cerberus,c. 525 BC,,"Anonymous · Heracles and Cerberus, c. 525 BC","Hades — lord of the underworld, standing at right as Cerberus is seized",File:12th_labour_of_Heracles_-_Project_Gutenberg_eText_19119.png
hades-3,Hades,,,Anonymous,The Abduction of Persephone by Hades,1750,,"Anonymous · The Abduction of Persephone by Hades, 1750",Hades — the nude man carrying off Persephone to the chariot,File:Hates_abduction.jpg
hades-4,Hades,,,Joseph Heintz the Younger,The Arrival of Hades at Tartarus,1640,,"Joseph Heintz the Younger · The Arrival of Hades at Tartarus, 1640",Hades — crowned figure enthroned in red at center-right,"File:Heintz,_Joseph_(II)_%E2%80%94_Hades%27_Ankunft_am_Tartaros.jpg"
hades-damned,Hades,,,Anonymous,"The Underworld: Sisyphus, Tityos and the Danaïds (Odyssey Landscapes)",c. 50 BC,CC BY 3.0,"Anonymous · The Underworld: Sisyphus, Tityos and the Danaïds (Odyssey Landscapes), c. 50 BC (CC BY 3.0)",,"File:Arte_romana,_affreschi_con_storie_dell%27odissea_da_via_graziosa,_50_ac_ca._(musei_vaticani)_03_incontro_con_orione,_sisifo,_tizio_e_le_danaiadi_1.jpg"
hades-w100,Hades,,,Anonymous,Hades and Persephone,1864,,"Anonymous · Hades and Persephone, 1864",Hades — bearded crowned king enthroned at left,File:Aidoneus_%26_Persephone.png
hades-w101,Hades,,,Anonymous,Hades and Persephone,c. 330 BC,CC BY-SA 4.0,"Anonymous · Hades and Persephone, c. 330 BC (CC BY-SA 4.0)",Hades — bearded man at left in pale cap,File:Allard_Pierson_Museum_Hades_and_Persephone_7768.jpg
hades-w102,Hades,,,Oionokles Painter,Hades,c. 470 BC,CC BY 3.0,"Oionokles Painter · Hades, c. 470 BC (CC BY 3.0)",Hades — bearded man at right holding the staff,File:Amphora_Hades_Louvre_G209_n2.jpg
hades-w103,Hades,,,Anonymous,Pluto as Serapis,c. 150 AD,CC BY-SA 2.0,"Anonymous · Pluto as Serapis, c. 150 AD (CC BY-SA 2.0)",,"File:Detail_of_Pluto-Serapis,_Statue_group_of_Persephone_(as_Isis)_and_Pluto_(as_Serapis),_from_the_Sanctuary_of_the_Egyptian_Gods_at_Gortyna,_mid-2nd_century_AD,_Heraklion_Archaeological_Museum_(30305313721).jpg"
hades-w105,Hades,,,Anonymous,Hades Abducting Persephone,c. 340 BC,,"Anonymous · Hades Abducting Persephone, c. 340 BC",Hades — driving the chariot at right,File:Hades_abducting_Persephone.jpg
